-16.4864,-15.4322,0.5243,
-16.4734,-15.4554,0.4890,
-16.4659,-15.4653,0.5473,
-16.8571,-14.8161,0.4635,
-16.8448,-14.8393,0.4278,
-16.8367,-14.8487,0.4863,
-16.9248,-14.4456,0.7564,
-16.9113,-14.4675,0.7196,
-16.9026,-14.4773,0.7782,
-16.6030,-15.1887,0.7222,
-16.5900,-15.2136,0.6859,
-16.5817,-15.2215,0.7443,
-16.3086,-15.5753,0.6762,
-16.2968,-15.6001,0.6387,
-16.2884,-15.6069,0.6976,
-16.1589,-15.5123,1.2555,
-16.1453,-15.5363,1.2184,
-16.1386,-15.5471,1.2768,
-16.6084,-14.7113,1.4225,
-16.5974,-14.7381,1.3862,
-16.5896,-14.7455,1.4448,
-16.8746,-14.0312,1.4560,
-16.8642,-14.0573,1.4200,
-16.8566,-14.0662,1.4782,
-15.9542,-15.4882,1.5548,
-15.9481,-15.4955,1.5113,
-15.9307,-15.5253,1.5605,
-16.3263,-14.8444,1.6823,
-16.3216,-14.8565,1.6390,
-16.3046,-14.8834,1.6881,
-16.5769,-14.3868,1.6661,
-16.5547,-14.4228,1.6715,
-16.5714,-14.3948,1.6225,
